videoid,videourl,good_sub,sub,title,query_phrase,channel,channel_id,channel_url,punctuation_count,subtitle_duration,channel_follower_count,upload_date,duration,view_count,categories,like_count,subtitle_coverage
GhOAkgZsXRY,https://www.youtube.com/watch?v=GhOAkgZsXRY,True,True,نظریه زبان و ماشین ها قسمت 14,,iman far,@imanfar,https://www.youtube.com/@imanfar,1378,3332.06,3500.0,20230731.0,4455.0,138.0,['Education'],1.0,
FHPfATWq-MM,https://www.youtube.com/watch?v=FHPfATWq-MM,True,True,نظریه زبان و ماشین ها قسمت 7 بخش اول,,iman far,@imanfar,https://www.youtube.com/@imanfar,1504,4403.37,3500.0,20230722.0,5601.0,292.0,['Education'],0.0,
X3qMYwjbspM,https://www.youtube.com/watch?v=X3qMYwjbspM,True,True,فضا-زمان و انواع ستاره ها,,Arantik,@Arantik,https://www.youtube.com/@Arantik,277,1204.93,57800.0,20210830.0,1229.0,86473.0,['Science & Technology'],4286.0,
Z0UdkuWDfLM,https://www.youtube.com/watch?v=Z0UdkuWDfLM,True,True,بیماریهایی که هممون باید بشناسیم تا از آنها صدمه نبینیم,,Chizomiz,@ChizomizTV,https://www.youtube.com/@ChizomizTV,166,3054.45,262000.0,20241110.0,3552.0,52378.0,['People & Blogs'],2097.0,
N2j2pZ6RuPI,https://www.youtube.com/watch?v=N2j2pZ6RuPI,True,True,این پسر تو مدرسه معلمشو حامله میکنه/معرفی فیلم خنده دار دانش آموز و معلم,,poriya_west,@poriyawest,https://www.youtube.com/@poriyawest,469,992.4,404000.0,20211123.0,1007.0,735891.0,['Film & Animation'],9573.0,
l7nAKpBt1l4,https://www.youtube.com/watch?v=l7nAKpBt1l4,True,True,میراژ اف 1 غرامت خونین صدام به ارتش | ایران چگونه میراژ فرانسوی را اهلی کرد,,پرشین ترند,@Persian_trend,https://www.youtube.com/@Persian_trend,8,1007.48,68000.0,20231223.0,1137.0,97792.0,['Autos & Vehicles'],1536.0,
SBPOWxkvHDk,https://www.youtube.com/watch?v=SBPOWxkvHDk,True,True,از میدان راه آهن تهران تا شمال با تروما,,Bplus Podcast,@BplusPodcast,https://www.youtube.com/@BplusPodcast,42,2409.92,212000.0,20240606.0,2515.0,80518.0,['Education'],1609.0,
iviqrUXc5_4,https://www.youtube.com/watch?v=iviqrUXc5_4,True,True,زندگینامه احمد کسروی [احمد کسروی چی گفت که ترور شد؟],,The Gate of History,@HistoryGate,https://www.youtube.com/@HistoryGate,89,3748.19,87400.0,20240526.0,3766.0,129705.0,['Education'],2067.0,
Sv02pjajQjI,https://www.youtube.com/watch?v=Sv02pjajQjI,True,True,آپدیت:صدجنگنده درحال نابودی حوثی.فدرالیسم،زوزه جدید رژیم.نتانیاهو چپ را نابود کرد.ترامپ و کانادا,,Project Leon,@project.leon.official,https://www.youtube.com/@project.leon.official,10,5234.48,16400.0,20241226.0,5642.0,15362.0,['News & Politics'],756.0,
LWALavKuVWQ,https://www.youtube.com/watch?v=LWALavKuVWQ,True,True,چند شنبه با سینا | فصل سوم | قسمت 40 | ماز جبرانــی,,MBC PERSIA,@MBCPERSIA,https://www.youtube.com/@MBCPERSIA,627,2837.69,260000.0,20220805.0,4039.0,779165.0,['Entertainment'],6491.0,
